#Nouvelle version: FWS_S7_20_v2 12056;;;;;;;;;;
#Ancienne version: FWS_S7_10_STD 12041;;;;;;;;;;
#Date: 04/12/20;;;;;;;;;;
#Begin;;;;;;;;;;
#NODE;STS_NODE;FAULT_CODE;STR_MON_NAME;STR_MON_TYPE;CST_NAME;STS_CST;TYPE;SUBTYPE;LIBELLE_1;LIBELLE_2
N_21_21_010;U;2121H010;DA01_21_21_010;STR_ALERTE;FWDA_21_21_010;M;DA_ITEM;DA_ONLY; ;
N_21_21_010;U;2121H010;DA01_21_21_010_01;STR_MSG;DA21_COND;U;DA_ITEM;DA_ONLY;COND;
N_21_21_010;U;2121H010;DA01_21_21_010_02;STR_MSG;DA21_ONE_CAB_FAN;U;DA_ITEM;DA_ONLY; > COND ONE CABIN FAN;
N_21_21_020;U;2121W020;AL_21_21_020;STR_ALERTE;FWAL_21_21_020;M;INDEPENDENT;LEVEL_1; ;
N_21_21_020;U;2121W020;AL_21_21_020_01;STR_TITLE;TL21_COND_TWO_CAB_FANS;U;INDEPENDENT;LEVEL_1;COND TWO CABIN FANS FAULT;
N_21_21_020;U;2121W020;AL_21_21_020_02;STR_MSG;PR21_IMA_2ND_LINE_COND;U;INDEPENDENT;LEVEL_1;     DUE TO IMA MODULE FAULT;
N_21_21_020;U;2121H021;DA01_21_21_020;STR_ALERTE;FWDA_21_21_021;U;DA_ITEM;NO_SUBTYPE; ;
N_21_21_020;U;2121H021;DA01_21_21_020_01;STR_TITLE;TL21_COND_TWO_CAB_FANS;U;DA_ITEM;NO_SUBTYPE;COND TWO CABIN FANS FAULT;
N_21_21_020;U;2121H021;DA01_21_21_020_02;STR_MSG;DA21_COND_TWO_CABIN_FANS;U;DA_ITEM;NO_SUBTYPE; > COND TWO CABIN FANS;
N_21_21_020;U;2121H022;DA02_21_21_020;STR_ALERTE;FWDA_21_21_022;U;DA_ITEM;DA_MULTI; ;
