FWC CONSTANT T_ALERTE LIST;CONSTANT BLOCK: CST_ALERTE;DATE: 2020/12/02_11:35:15;VARIANTE: ;ISSUE: ;;;;;;;;;;;;;;;;;
NAME;IDALERTE;PRIORITY;TITLE;TYPE;SUBTYPE;Spare CLR;Spare RCL;C;EC;FLIGHTPHASE;TD;Sound;SynthVoice;Hybride;SystPage;ML;Msg Spare;Msg CMF Compute;Msg CMF Display;Msg Classe4;CL Phase
FWAL_21_21_020;2121W020;1068;COND TWO CABIN FANS FAULT;INDEPENDENT;LEVEL_1;;;;EC;12XXXXX8XXXCD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;COND;NO_ML;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_21_040;2121W040;884;COND CABIN FANS FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_21_150;2121W150;1067;COND MIXER FLOW REGUL FAULT;INDEPENDENT;LEVEL_1;;;;EC;12XXXXX8XXXXD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_21_250;2121W250;894;COND VENT CTL DEGRADED;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXXD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_23_010;2123W010;1069;VENT LAV & GALLEYS EXTRACT FAULT;INDEPENDENT;LEVEL_1;;;;EC;12XXXXXXXXXXD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;COND;NO_ML;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_26_010;2126W010;801;VENT AVNCS L BLOWING FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_26_020;2126W020;802;VENT AVNCS R BLOWING FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_26_030;2126W030;800;VENT AVNCS L+R BLOWING FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_26_040;2126W040;518;VENT AVNCS EXTRACT FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_26_050;2126W050;462;VENT AVNCS OVBD VLV FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_28_010;2128W010;1072;COND BULK CARGO VENT FAULT;INDEPENDENT;LEVEL_1;;;;EC;12XXXXX8XXXXD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;COND;NO_ML;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_28_020;2128W020;747;COND BULK CARGO ISOL FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_28_200;2128W200;1070;COND FWD CARGO VENT FAULT;INDEPENDENT;LEVEL_1;;;;EC;12XXXXX8XXXXD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;COND;NO_ML;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_28_210;2128W210;745;COND FWD CARGO ISOL FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_28_400;2128W400;1071;COND AFT CARGO VENT FAULT;INDEPENDENT;LEVEL_1;;;;EC;12XXXXX8XXXXD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;COND;NO_ML;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_28_410;2128W410;746;COND AFT CARGO ISOL FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_29_010;2129W010;881;VENT IFE BAY VENT FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_29_040;2129W040;882;VENT PAX BBAND VENT FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_050;2131W050;221;CAB PRESS SYS FAULT;INDEPENDENT;LEVEL_2;;;C;EC;123XXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_060;2131W060;5;CAB PRESS EXCESS CAB ALT;INDEPENDENT;LEVEL_3;CLR;;C;EC;XXXXXXX8XXXXX;0.00;CRC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;WARN;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_070;2131W070;42;CAB PRESS EXCESS DIFF PRESS;INDEPENDENT;LEVEL_3;;;C;EC;1XXXXXX8XXXXX;0.60;CRC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;WARN;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_080;2131W080;4;CAB PRESS EXCESS NEGATIVE DIFF PRESS;INDEPENDENT;LEVEL_3;;;C;EC;XXXXXXX8XXXXX;0.60;CRC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;WARN;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_090;2131W090;6;CAB PRESS EXCESS RESIDUAL DIFF PRESS;INDEPENDENT;LEVEL_3;;;C;EC;12XXXXXXXXXCD;0.60;CRC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;WARN;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_110;2131W110;362;CAB PRESS DIFF PRESS LO;INDEPENDENT;LEVEL_2;;;C;EC;XXXXXXX8XXXXX;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_120;2131W120;464;CAB PRESS AUTO CTL FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_130;2131W130;465;CAB PRESS LDG ELEVN FAULT;INDEPENDENT;LEVEL_2;;;C;EC;XXXXXXX8XXXXX;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_140;2131W140;463;CAB PRESS INHIBITED BY DOORS;INDEPENDENT;LEVEL_2;;;C;EC;X23XXXX8XXXXX;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_170;2131M170;31;CAB PRESS MAN MODE (MEMO);MEMO;WD_RIGHT;;;;;123456789ABCD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_21_31_180;2131W180;466;CAB PRESS MAN CTL FAULT;INDEPENDENT;LEVEL_2;;;C;EC;123XXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_200;2131M200;42;HI ALT ARPT (MEMO);MEMO;WD_RIGHT;;;;;12XXXXX8XXXXX;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_21_31_210;2131W210;467;CAB PRESS CAB ALT MAN CTL FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_220;2131W220;468;CAB PRESS CAB V/S MAN CTL FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_400;2131W400;469;COND RAM AIR FAULT;INDEPENDENT;LEVEL_2;;;C;EC;XXXXXXX8XXXXX;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_500;2131M500;35;RAM AIR (MEMO);MEMO;WD_RIGHT;;;;;12XXXXX8XXXCD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_21_51_300;2151M300;33;AIR FLOW HI (MEMO);MEMO;WD_RIGHT;;;;;123456789ABCD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_21_51_310;2151M310;34;AIR FLOW LO (MEMO);MEMO;WD_RIGHT;;;;;123456789ABCD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_21_51_320;2151M320;32;AIR FLOW MAN (MEMO);MEMO;WD_RIGHT;;;;;123456789ABCD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_21_53_010;2153W010;365;AIR PACK 1+2 FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;BLEED;CAUT;FAUX;VRAI;FAUX;FAUX;0
